Bank Name,Country,Contact Person,Email Address,Potential Deal Size (USD),Security Door Type,Sales Stage,Last Contact Date,Notes,Branch Location,Number of Branches,Security Budget (USD),Decision Maker Title,Decision Maker Contact,Lead Source,Initial Inquiry Date,Urgency Level,Product Features of Interest,Competition Present,Internal Sales Rep
First National Bank Ltd.,nigeria,mr adekunle oluwafemi,a.oluwafemi@fnb.com.ng,"150,000",Vault Door,Prospect,28-Apr-25,Interested in high security options,Lagos,250,500 000,Head of Security,+234(803)XXXX-XXXX,Website Inquiry,15/04/2025,Medium,"Biometric access, time lock",YES,John Doe
Standard Bank Group,South Africa,John Smith,j.smith @standardbank.co.za,220000,Access Control System,Qualified,05/05/2025,Needs a demo scheduled,JHB,600,"750,000",Chief Operations Officer,011 XXX XXXX,Referral,"April 20, 2025",High,"Multi factor auth, Integration",No,Jane Smith
Banque Centrale Populaire,Morocco,Fatima Zahraoui,f.zahraoui@bcp.ma,180000,Vault Door,Proposal,10/05/2025,Reviewing our quotation,Casablanca,350,600000,Security Director,+212 5 XX-XX-XX-XX,Trade Show,25/04/2025,Medium,"Drill resistance, fireproof",Yes,Ahmed Ali
Equity Bank,KENYA,Peter Omondi,p.omondi@equitybank.co.ke,"95,000",Safe Deposit Boxes,Negotiation,01/05/2025,Discussing final terms,Nairobi,180,"300,000.00",Branch Manager,+254 7 XX XXX-XXXX,Direct Mail,10-Apr-25,Low,"Various sizes, keycard access",NO,Susan Wangui
ABSA Group Limited,South Africa,Sarah Johnson,s.johnson@absa.co.za,165000,Access Control,Closed Won,15/04/2025,Deal closed,CPT,450,700000,Head of Procurement,(021) XXX-XXXX,Existing Client,15/03/2025,N/A,"System upgrade, audit trails",No,David Lee
Zenith Bank PLC,Nigeria,chinedu okoro,c.okoro @zenithbank.com,,V Door,Prospect,22/04/2025,Initial contact made,Abuja,280,"550,000",,+234 909 XXX XXXX,Cold Call,05/04/2025,Low,High security vault,YES,Aisha Musa
Commercial Bank of Ethiopia,ETHIOPIA,Abera Lemma,a.lemma@cbe.et,"110,000.00",Safe Deposit Box,Qualified,08-May-25,Expressed interest in bulk purchase,Addis Ababa,500,400000,Security Officer,+251 11 XXX-XXXX,Website Inquiry,22-Apr-25,Medium,"Digital locks, individual access",No,Solomon Bekele
Attijariwafa Bank,Morocco,omar benjelloun,o.benjelloun @ attijari.ma,200000,Access Control Systems,Proposal,03/05/2025,Awaiting feedback on proposal,Rabat,300,"650,000.00",IT Manager,+212 6 XX XX XX XX,Referral,18/04/2025,High,"Mobile access, integration w CCTV",Yes,Amina Benani
KCB Group,Kenya,Alice Wambui,a.wambui@kcbgroup.com,"130,000",Vault Door,Negotiation,25-Apr-25,Addressing technical specifications,Mombasa,200,450000,Technical Director,+254 71 XXX-XXXX,Trade Show,"April 12, 2025",Medium,"Reinforced concrete, alarm system",NO,Robert Kimani
Nedbank Group,South Africa,David Miller,d.miller @nedbank.co.za,175000,Access Control System,Closed Lost,30/04/2025,Competitor won the deal,Durban,400,"720,000",Chief Risk Officer,(031) XXX-XXXX,Existing Client,25/03/2025,N/A,"Advanced encryption, scalability",Yes,Linda Zulu
First National Bank,Namibia,Maria Shikongo,m.shikongo@fnbnamibia.com.na,80000,Safe Deposit Boxes,Prospect,07-May-25,Just started the conversation,Windhoek,120,250000,Regional Manager,+264 61 XXX-XXXX,Direct Mail,28/04/2025,Low,"Standard sizes, dual key access",No,Josephina Imbili
Standard Bank,GHANA,Kofi Annan,k.annan @standardbank.gh,"190,000",Vault Door,Qualified,02/05/2025,Arranging a site visit,Accra,150,"620,000.00",Head of Operations,+233 24 XXX-XXXX,Website Inquiry,"May 17, 2025",High,"Time delay locks, emergency override",YES,Akosua Mensah
Banque Misr,Egypt,Ahmed Hassan,a.hassan@banquemisr.com,250000,Access Control System,Proposal,09-May-25,Finalizing contract details,Cairo,500,800000,Legal Counsel,+20 2 XXX-XXXX,Referral,23/04/2025,High,"Biometric and card reader, integ",No,Samir Khalil
